Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2008;"Manufacture of furniture; manufacturing";Land and Buildings;11558.0
2007;Fishing;Total;41246.0
2007;Exploration of oil and natural gas;Other Equipment;60139390.0
2007;Mining of metal ores;Transportation Equipment;25.0
2007;Manufacture of food prod. and beverages;Other assets;432765.0
2007;Manufacture of food prod. and beverages;Land and Buildings;792882.0
2007;Manufacture of food prod. and beverages;Other Equipment;1197709.0
2007;Manufacture of tobacco products;Other assets;0.0
2007;Manufacture of tobacco products;Transportation Equipment;0.0
2007;Manufacture of tobacco products;Other Equipment;0.0
2007;Manufacture of tobacco products;Furniture;0.0
2007;Manufacture of textiles;Other assets;6850.0
2007;Manufacturing of apparel, preparing & tanning fur;Transportation Equipment;4656.0
2007;"Tanning and dressing of leather; manufacture of luggage and footwear";Furniture;30.0
2007;Manufacture of wood and of products of wood and cork;Other assets;8278.0
2007;Industry of paper and its products;Other assets;249653.0
2007;Industry of paper and its products;Furniture;17892.0
2007;Manufacture of rubber and plastics products;Transportation Equipment;241263.0
2007;Manufacture of fabricated metal products;Land and Buildings;112745.0
2007;Manufacture of fabricated metal products;Other Equipment;149664.0
2007;Manufacture of machinery and equipment;Transportation Equipment;32426.0
2007;Manufacture of machinery and equipment;Total;249117.0
2007;Manufacture of machinery and equipment;Furniture;9544.0
2007;Manufacture of office, accounting and computing machinery;Total;0.0
2007;Manufacture of electrical machinery and apparatus;Furniture;113001.0
2007;Manufacture of radio, television and communication equipment and apparatus;Land and Buildings;0.0
2007;Manufacture of radio, television and communication equipment and apparatus;Total;12448.0
2007;Manufacture of medical, precision and optical instruments, watches and clocks;Transportation Equipment;1165.0
2007;Manufacture of motor vehicles, trailers and semi-trailers;Transportation Equipment;5831.0
2007;Manufacture of motor vehicles, trailers and semi-trailers;Furniture;3522.0
2007;"Manufacture of furniture; manufacturing";Other Equipment;31170.0
2007;Electricity, gas and steam;Other assets;186464.0
2007;Collection, purification and distribution of water;Transportation Equipment;16464.0
2007;Collection, purification and distribution of water;Other Equipment;8795.0
2007;Construction;Land and Buildings;3090178.0
2007;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other assets;103406.0
2007;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Land and Buildings;233173.0
2007;Hotels and restaurants;Other assets;57861.0
2007;Hotels and restaurants;Furniture;91849.0
2007;"Land transport; transport via pipelines";Other assets;440539.0
2007;"Land transport; transport via pipelines";Land and Buildings;131936.0
2007;"Land transport; transport via pipelines";Total;1948693.0
2007;Water transport;Total;852.0
2007;Air transport;Total;2472153.0
2007;Air transport;Other Equipment;92692.0
2007;"Supporting and auxiliary transport activities; activities of travel agencies";Other assets;123145.0
2007;"Supporting and auxiliary transport activities; activities of travel agencies";Land and Buildings;23922.0
2007;"Supporting and auxiliary transport activities; activities of travel agencies";Transportation Equipment;19307.0
2007;Financial intermediation;Land and Buildings;1117048.0
2007;Insurance and pension funding, except compulsory social security;Land and Buildings;181686.0
2007;Insurance and pension funding, except compulsory social security;Total;279785.0
2007;Activities auxiliary to financial intermediation;Land and Buildings;0.0
2007;Computer and related activities;Furniture;9208.0
2007;Research and development;Other assets;0.0
2007;Research and development;Transportation Equipment;0.0
2007;Research and development;Furniture;0.0
2007;Health and social work;Other assets;360130.0
2007;Sewage and refuse disposal and sanitation;Total;119789.0
2007;Sewage and refuse disposal and sanitation;Furniture;2251.0
2007;Activities of membership organizations n.e.c.;Land and Buildings;2257.0
2007;Activities of membership organizations n.e.c.;Total;29209.0
2007;service activities;Land and Buildings;363.0
2007;Total;Other assets;13921820.0
2006;Agriculture and hunting and related service activities;Other Equipment;64062.0
2006;Forestry and logging;Total;0.0
2006;Forestry and logging;Other Equipment;0.0
2006;Exploration of oil and natural gas;Land and Buildings;435260.0
2006;Exploration of oil and natural gas;Total;42695654.0
2006;Mining of metal ores;Furniture;0.0
2006;Activities for mining and quarrying;Furniture;12389.0
2006;Manufacture of food prod. and beverages;Total;2788424.0
2006;Manufacture of food prod. and beverages;Furniture;177143.0
2006;Manufacture of tobacco products;Other assets;0.0
2006;Manufacture of tobacco products;Transportation Equipment;0.0
2006;Manufacture of textiles;Other assets;5843.0
2006;Manufacture of textiles;Land and Buildings;28812.0
2006;Manufacturing of apparel, preparing & tanning fur;Other Equipment;6594.0
2006;"Tanning and dressing of leather; manufacture of luggage and footwear";Total;1166.0
2006;Printing & Publishing;Land and Buildings;206024.0
2006;Printing & Publishing;Other Equipment;102155.0
2006;Manufacture of chemicals , Articles and  products;Land and Buildings;324591.0
2006;Manufacture of chemicals , Articles and  products;Transportation Equipment;55540.0
2006;Manufacture of chemicals , Articles and  products;Furniture;30518.0
2006;Manufacture of rubber and plastics products;Other assets;100512.0
2006;Manufacture of rubber and plastics products;Total;1870244.0
2006;Manufacture of  non-metallic mineral products;Land and Buildings;1942771.0
2006;Manufacture of  non-metallic mineral products;Furniture;28393.0
2006;Manufacture of basic metals;Other assets;266655.0
2006;Manufacture of basic metals;Total;407463.0
2006;Manufacture of office, accounting and computing machinery;Other Equipment;0.0
2006;Manufacture of electrical machinery and apparatus;Total;639254.0
2006;Manufacture of electrical machinery and apparatus;Other Equipment;163805.0
2006;Manufacture of radio, television and communication equipment and apparatus;Transportation Equipment;3137.0
2006;Manufacture of other transport equipment;Furniture;247.0
2006;"Manufacture of furniture; manufacturing";Other Equipment;30020.0
2006;Recycling;Other assets;0.0
2006;Recycling;Transportation Equipment;0.0
2006;Electricity, gas and steam;Transportation Equipment;73550.0
2006;Construction;Transportation Equipment;4531794.0
2006;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Transportation Equipment;192141.0
2006;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Total;562372.0
2008;Wholesale trade and commission trade;Other Equipment;545800.0
2008;Hotels and restaurants;Transportation Equipment;23165.0
2008;Hotels and restaurants;Other Equipment;65268.0
2008;Water transport;Transportation Equipment;903.0
2008;Water transport;Total;903.0
2008;Water transport;Other Equipment;0.0
2008;Air transport;Other Equipment;93279.0
2008;Air transport;Furniture;624264.0
2008;"Supporting and auxiliary transport activities; activities of travel agencies";Other assets;127447.0
2008;"Supporting and auxiliary transport activities; activities of travel agencies";Transportation Equipment;20016.0
2008;Financial intermediation;Other assets;209958.0
2008;Financial intermediation;Land and Buildings;1032136.0
2008;Financial intermediation;Transportation Equipment;29769.0
2008;Financial intermediation;Total;2223738.0
2008;Insurance and pension funding, except compulsory social security;Total;292564.0
2008;Activities auxiliary to financial intermediation;Transportation Equipment;430.0
2008;Real estate activities;Transportation Equipment;19627.0
2008;Renting of machinery and equipment without operator and of personal and household goods;Furniture;780.0
2008;Research and development;Land and Buildings;0.0
2008;Research and development;Total;0.0
2008;Research and development;Furniture;0.0
2008;Activities, business services;Other assets;264645.0
2008;Education;Total;127586.0
2008;Sewage and refuse disposal and sanitation;Transportation Equipment;68130.0
2008;Activities of membership organizations n.e.c.;Other assets;14952.0
2008;Activities of membership organizations n.e.c.;Land and Buildings;2328.0
2008;Recreational, cultural and sporting activities;Land and Buildings;10961.0
2008;Recreational, cultural and sporting activities;Total;35243.0
2008;Recreational, cultural and sporting activities;Furniture;5245.0
2008;service activities;Land and Buildings;466.0
2008;service activities;Other Equipment;1432.0
2007;Agriculture and hunting and related service activities;Other Equipment;63893.0
2007;Fishing;Transportation Equipment;2504.0
2007;Exploration of oil and natural gas;Transportation Equipment;5477157.0
2007;Mining of metal ores;Other assets;0.0
2007;Mining of metal ores;Land and Buildings;1404.0
2007;Mining of metal ores;Other Equipment;418.0
2007;Activities for mining and quarrying;Other assets;13348.0
2007;Activities for mining and quarrying;Total;995342.0
2007;Activities for mining and quarrying;Furniture;13648.0
2007;Manufacture of food prod. and beverages;Total;2898182.0
2007;"Tanning and dressing of leather; manufacture of luggage and footwear";Other assets;88.0
2007;Manufacture of wood and of products of wood and cork;Land and Buildings;32821.0
2007;Manufacture of wood and of products of wood and cork;Other Equipment;21875.0
2007;Industry of paper and its products;Transportation Equipment;17367.0
2007;Printing & Publishing;Total;362426.0
2007;Printing & Publishing;Other Equipment;102176.0
2007;Retail trade and repair of personal and household goods;Furniture;303165.0
2007;Hotels and restaurants;Transportation Equipment;21880.0
2007;Hotels and restaurants;Total;413731.0
2007;Water transport;Transportation Equipment;852.0
2007;"Supporting and auxiliary transport activities; activities of travel agencies";Total;265934.0
2007;Financial intermediation;Other assets;226179.0
2007;Financial intermediation;Total;2363661.0
2007;Financial intermediation;Furniture;416129.0
2007;Insurance and pension funding, except compulsory social security;Transportation Equipment;34838.0
2007;Activities auxiliary to financial intermediation;Other Equipment;371.0
2007;Activities auxiliary to financial intermediation;Furniture;673.0
2007;Real estate activities;Total;731660.0
2007;Renting of machinery and equipment without operator and of personal and household goods;Land and Buildings;1198.0
2007;Renting of machinery and equipment without operator and of personal and household goods;Furniture;776.0
2007;Computer and related activities;Transportation Equipment;5556.0
2007;Computer and related activities;Total;99193.0
2007;Computer and related activities;Other Equipment;10160.0
2007;Research and development;Land and Buildings;0.0
2007;Activities, business services;Furniture;466123.0
2007;Education;Transportation Equipment;13727.0
2007;Health and social work;Transportation Equipment;207060.0
2007;Sewage and refuse disposal and sanitation;Other Equipment;17789.0
2007;Activities of membership organizations n.e.c.;Transportation Equipment;3650.0
2007;Activities of membership organizations n.e.c.;Other Equipment;1743.0
2007;Recreational, cultural and sporting activities;Other assets;3344.0
2007;Recreational, cultural and sporting activities;Other Equipment;8602.0
2007;Recreational, cultural and sporting activities;Furniture;4673.0
2007;service activities;Other assets;112.0
2007;service activities;Transportation Equipment;11368.0
2007;service activities;Other Equipment;1360.0
2007;Total;Other Equipment;85906397.0
2006;Agriculture and hunting and related service activities;Total;177861.0
2006;Agriculture and hunting and related service activities;Furniture;3988.0
2006;Fishing;Land and Buildings;0.0
2006;Exploration of oil and natural gas;Other assets;71348.0
2006;Mining of metal ores;Total;1514.0
2006;Activities for mining and quarrying;Other Equipment;760613.0
2006;Manufacture of textiles;Furniture;1024.0
2006;"Tanning and dressing of leather; manufacture of luggage and footwear";Other assets;88.0
2006;"Tanning and dressing of leather; manufacture of luggage and footwear";Transportation Equipment;368.0
2006;Manufacture of wood and of products of wood and cork;Other assets;7930.0
2006;Manufacture of wood and of products of wood and cork;Land and Buildings;32554.0
2006;Industry of paper and its products;Land and Buildings;92869.0
2006;Industry of paper and its products;Furniture;17614.0
2006;Printing & Publishing;Other assets;28714.0
2006;Manufacture of  non-metallic mineral products;Other assets;1147143.0
2006;Manufacture of  non-metallic mineral products;Transportation Equipment;281773.0
2006;Manufacture of basic metals;Land and Buildings;19516.0
2006;Manufacture of fabricated metal products;Other assets;444627.0
2006;Manufacture of fabricated metal products;Other Equipment;187062.0
2006;Manufacture of machinery and equipment;Other assets;100684.0
2006;Manufacture of machinery and equipment;Transportation Equipment;30299.0
2006;Manufacture of machinery and equipment;Furniture;7920.0
2005;Wholesale trade and commission trade;Total;3795052.0
2005;Wholesale trade and commission trade;Other Equipment;533209.0
2005;Wholesale trade and commission trade;Furniture;388736.0
2005;Retail trade and repair of personal and household goods;Land and Buildings;230204.0
2005;"Land transport; transport via pipelines";Other assets;55714.0
2005;"Land transport; transport via pipelines";Other Equipment;23296.0
2005;Activities auxiliary to financial intermediation;Total;1031.0
2005;Activities auxiliary to financial intermediation;Other Equipment;48.0
2005;Renting of machinery and equipment without operator and of personal and household goods;Furniture;1480.0
2005;Computer and related activities;Furniture;13713.0
2005;Activities, business services;Other Equipment;64309.0
2005;Education;Total;919150.0
2005;Education;Other Equipment;17998.0
2005;Sewage and refuse disposal and sanitation;Other assets;10294.0
2005;Activities of membership organizations n.e.c.;Land and Buildings;2024.0
2005;Activities of membership organizations n.e.c.;Total;16108.0
2005;Recreational, cultural and sporting activities;Transportation Equipment;3215.0
2005;Recreational, cultural and sporting activities;Other Equipment;8626.0
2005;Total;Total;85964882.0
2009;Agriculture and hunting and related service activities;Other assets;12827.0
2009;Agriculture and hunting and related service activities;Other Equipment;68130.0
2009;Agriculture and hunting and related service activities;Furniture;4213.0
2009;Forestry and logging;Land and Buildings;0.0
2009;Forestry and logging;Other Equipment;0.0
2009;Exploration of oil and natural gas;Furniture;130049.0
2009;Mining of metal ores;Other assets;0.0
2009;Mining of metal ores;Total;2590.0
2009;Mining of metal ores;Other Equipment;481.0
2009;Manufacture of food prod. and beverages;Total;3785977.0
2009;Manufacture of tobacco products;Total;64.0
2009;Manufacturing of apparel, preparing & tanning fur;Other assets;9197.0
2009;Manufacturing of apparel, preparing & tanning fur;Total;29850.0
2009;Manufacturing of apparel, preparing & tanning fur;Other Equipment;2525.0
2009;"Tanning and dressing of leather; manufacture of luggage and footwear";Other assets;90.0
2009;Industry of paper and its products;Other assets;302257.0
2009;Industry of paper and its products;Other Equipment;2290069.0
2009;Printing & Publishing;Total;334518.0
2009;Printing & Publishing;Other Equipment;74713.0
2009;Products of refined petroleum;Land and Buildings;51953.0
2009;Manufacture of chemicals , Articles and  products;Other assets;444010.0
2009;Manufacture of fabricated metal products;Other Equipment;213159.0
2009;Manufacture of machinery and equipment;Furniture;15461.0
2009;Manufacture of office, accounting and computing machinery;Transportation Equipment;0.0
2009;Manufacture of medical, precision and optical instruments, watches and clocks;Furniture;327.0
2009;Manufacture of other transport equipment;Transportation Equipment;329.0
2009;Manufacture of other transport equipment;Total;4361.0
2009;"Manufacture of furniture; manufacturing";Other assets;23918.0
2009;"Manufacture of furniture; manufacturing";Transportation Equipment;266885.0
2009;"Manufacture of furniture; manufacturing";Furniture;31572.0
2009;Electricity, gas and steam;Other assets;202822.0
2009;Electricity, gas and steam;Land and Buildings;156107.0
2009;Collection, purification and distribution of water;Total;124648.0
2009;Collection, purification and distribution of water;Furniture;3717.0
2009;Construction;Total;7811667.0
2009;Construction;Other Equipment;2335529.0
2009;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Transportation Equipment;284396.0
2009;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Furniture;43448.0
2009;Wholesale trade and commission trade;Total;6059142.0
2009;Wholesale trade and commission trade;Furniture;674150.0
2009;Retail trade and repair of personal and household goods;Other assets;173193.0
2009;Retail trade and repair of personal and household goods;Land and Buildings;354414.0
2009;Retail trade and repair of personal and household goods;Furniture;338776.0
2009;Hotels and restaurants;Furniture;98104.0
2009;"Land transport; transport via pipelines";Transportation Equipment;1251935.0
2009;Air transport;Transportation Equipment;1346067.0
2009;"Supporting and auxiliary transport activities; activities of travel agencies";Land and Buildings;24463.0
2009;Post and telecommunications;Furniture;126564.0
2009;Financial intermediation;Transportation Equipment;31575.0
2009;Financial intermediation;Other Equipment;634838.0
2009;Insurance and pension funding, except compulsory social security;Other assets;22.0
2009;Activities auxiliary to financial intermediation;Total;1739.0
2009;Renting of machinery and equipment without operator and of personal and household goods;Land and Buildings;1262.0
2009;Activities, business services;Land and Buildings;59199.0
2009;Activities, business services;Furniture;494915.0
2009;Education;Other Equipment;8918.0
2009;Health and social work;Other assets;187409.0
2009;Health and social work;Land and Buildings;552786.0
2009;Health and social work;Total;1549415.0
2009;Sewage and refuse disposal and sanitation;Total;121243.0
2009;Activities of membership organizations n.e.c.;Transportation Equipment;3892.0
2009;Activities of membership organizations n.e.c.;Other Equipment;1734.0
2009;Recreational, cultural and sporting activities;Furniture;5390.0
2009;service activities;Other assets;36.0
2009;service activities;Furniture;1001.0
2009;Total;Other assets;8462128.0
2009;Total;Land and Buildings;14770355.0
2009;Total;Total;116928238.0
2008;Agriculture and hunting and related service activities;Land and Buildings;81389.0
2008;Agriculture and hunting and related service activities;Furniture;4330.0
2008;Forestry and logging;Total;0.0
2008;Fishing;Other assets;37479.0
2008;Fishing;Land and Buildings;143.0
2008;Exploration of oil and natural gas;Furniture;41191.0
2008;Mining of metal ores;Transportation Equipment;26.0
2008;Manufacture of food prod. and beverages;Land and Buildings;815522.0
2008;Manufacture of textiles;Total;190425.0
2008;Manufacturing of apparel, preparing & tanning fur;Land and Buildings;2257.0
2008;Manufacture of wood and of products of wood and cork;Total;78035.0
2008;Manufacture of wood and of products of wood and cork;Other Equipment;24530.0
2008;Manufacture of wood and of products of wood and cork;Furniture;1950.0
2008;Manufacture of food prod. and beverages;Furniture;172398.0
2008;Manufacture of tobacco products;Other assets;0.0
2008;Manufacturing of apparel, preparing & tanning fur;Transportation Equipment;4539.0
2008;Manufacturing of apparel, preparing & tanning fur;Other Equipment;3228.0
2008;Manufacturing of apparel, preparing & tanning fur;Furniture;6908.0
2008;"Tanning and dressing of leather; manufacture of luggage and footwear";Land and Buildings;250.0
2008;Manufacture of wood and of products of wood and cork;Other assets;8788.0
2008;Industry of paper and its products;Transportation Equipment;19621.0
2008;Printing & Publishing;Land and Buildings;212084.0
2008;Printing & Publishing;Transportation Equipment;18679.0
2008;Products of refined petroleum;Transportation Equipment;6829.0
2008;Manufacture of chemicals , Articles and  products;Other Equipment;1250773.0
2008;Manufacture of office, accounting and computing machinery;Other assets;0.0
2008;Manufacture of office, accounting and computing machinery;Transportation Equipment;0.0
2008;Manufacture of office, accounting and computing machinery;Total;0.0
2008;Manufacture of electrical machinery and apparatus;Other assets;162465.0
2008;Manufacture of radio, television and communication equipment and apparatus;Other Equipment;1720.0
2008;Manufacture of medical, precision and optical instruments, watches and clocks;Other assets;1462.0
2008;"Manufacture of furniture; manufacturing";Other assets;23147.0
2008;"Manufacture of furniture; manufacturing";Transportation Equipment;261650.0
2008;Construction;Other assets;290274.0
2008;Construction;Land and Buildings;1605902.0
2008;Construction;Transportation Equipment;3215655.0
2008;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Total;665109.0
2008;Wholesale trade and commission trade;Transportation Equipment;3280841.0
2008;Retail trade and repair of personal and household goods;Other assets;143397.0
2008;Retail trade and repair of personal and household goods;Total;1219947.0
2008;Hotels and restaurants;Other assets;61025.0
2008;Hotels and restaurants;Land and Buildings;185942.0
2008;Hotels and restaurants;Furniture;95088.0
2008;"Land transport; transport via pipelines";Transportation Equipment;1267798.0
2008;"Land transport; transport via pipelines";Other Equipment;67979.0
2008;Education;Furniture;19034.0
2008;Sewage and refuse disposal and sanitation;Other assets;2459.0
2008;Sewage and refuse disposal and sanitation;Land and Buildings;27966.0
2008;Sewage and refuse disposal and sanitation;Other Equipment;12467.0
2008;Recreational, cultural and sporting activities;Other Equipment;9310.0
2008;Total;Land and Buildings;12206591.0
2007;Agriculture and hunting and related service activities;Other assets;11426.0
2007;Forestry and logging;Total;0.0
2007;Forestry and logging;Other Equipment;0.0
2007;Forestry and logging;Furniture;0.0
2007;Fishing;Other Equipment;6538.0
2007;Mining of metal ores;Furniture;447.0
2007;Activities for mining and quarrying;Land and Buildings;141681.0
2007;Manufacture of food prod. and beverages;Transportation Equipment;298115.0
2007;Manufacture of tobacco products;Total;0.0
2007;Manufacture of textiles;Transportation Equipment;390.0
2007;Manufacture of textiles;Furniture;1302.0
2007;Manufacturing of apparel, preparing & tanning fur;Total;39882.0
2007;Manufacturing of apparel, preparing & tanning fur;Other Equipment;7185.0
2007;Manufacturing of apparel, preparing & tanning fur;Furniture;6892.0
2007;"Tanning and dressing of leather; manufacture of luggage and footwear";Total;1170.0
2007;Manufacture of wood and of products of wood and cork;Furniture;1485.0
2007;Industry of paper and its products;Land and Buildings;94884.0
2007;Manufacture of chemicals , Articles and  products;Transportation Equipment;60641.0
2007;Manufacture of chemicals , Articles and  products;Other Equipment;1372500.0
2007;Manufacture of  non-metallic mineral products;Other Equipment;2523426.0
2007;Manufacture of basic metals;Furniture;4692.0
2007;Manufacture of fabricated metal products;Total;757975.0
2007;Manufacture of electrical machinery and apparatus;Land and Buildings;152010.0
2007;Manufacture of medical, precision and optical instruments, watches and clocks;Other assets;1284.0
2007;Manufacture of motor vehicles, trailers and semi-trailers;Other assets;4318.0
2007;"Manufacture of furniture; manufacturing";Other assets;22226.0
2007;"Manufacture of furniture; manufacturing";Total;338161.0
2007;"Manufacture of furniture; manufacturing";Furniture;29429.0
2007;Electricity, gas and steam;Land and Buildings;146288.0
2007;Electricity, gas and steam;Other Equipment;7691386.0
2007;Collection, purification and distribution of water;Total;76850.0
2007;Construction;Other assets;364685.0
2007;Construction;Furniture;511885.0
2007;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Transportation Equipment;240074.0
2007;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Total;679141.0
2007;Wholesale trade and commission trade;Transportation Equipment;3028066.0
2007;Retail trade and repair of personal and household goods;Total;1134372.0
2007;Hotels and restaurants;Other Equipment;63322.0
2007;"Land transport; transport via pipelines";Transportation Equipment;1302519.0
2007;Water transport;Land and Buildings;0.0
2007;Water transport;Furniture;0.0
2007;Air transport;Other assets;504968.0
2007;Air transport;Furniture;604246.0
2007;"Supporting and auxiliary transport activities; activities of travel agencies";Other Equipment;95859.0
2007;Post and telecommunications;Furniture;154691.0
2007;Activities auxiliary to financial intermediation;Transportation Equipment;419.0
2007;Real estate activities;Other assets;11988.0
2007;Real estate activities;Furniture;7737.0
2007;Renting of machinery and equipment without operator and of personal and household goods;Other assets;72.0
2007;Renting of machinery and equipment without operator and of personal and household goods;Transportation Equipment;145081.0
2007;Renting of machinery and equipment without operator and of personal and household goods;Other Equipment;3525.0
2007;Research and development;Total;0.0
2007;Activities, business services;Transportation Equipment;461201.0
2007;Education;Other assets;14684.0
2007;Education;Land and Buildings;66713.0
2007;Health and social work;Land and Buildings;527554.0
2007;Activities of membership organizations n.e.c.;Furniture;8168.0
2007;Total;Land and Buildings;13168464.0
2007;Total;Transportation Equipment;17029433.0
2007;Total;Total;134324606.0
2006;Forestry and logging;Other assets;0.0
2006;Forestry and logging;Land and Buildings;0.0
2008;"Manufacture of furniture; manufacturing";Total;359563.0
2008;Collection, purification and distribution of water;Transportation Equipment;17524.0
2008;Collection, purification and distribution of water;Other Equipment;9639.0
2008;Collection, purification and distribution of water;Furniture;4886.0
2008;Retail trade and repair of personal and household goods;Transportation Equipment;164691.0
2008;"Land transport; transport via pipelines";Total;1735939.0
2008;"Land transport; transport via pipelines";Furniture;7193.0
2008;Water transport;Furniture;0.0
2008;Air transport;Total;2361061.0
2008;"Supporting and auxiliary transport activities; activities of travel agencies";Land and Buildings;23787.0
2008;Post and telecommunications;Transportation Equipment;36745.0
2008;Financial intermediation;Other Equipment;553188.0
2008;Insurance and pension funding, except compulsory social security;Other assets;22.0
2008;Activities auxiliary to financial intermediation;Other assets;160.0
2008;Activities auxiliary to financial intermediation;Land and Buildings;0.0
2008;Real estate activities;Furniture;11215.0
2008;Renting of machinery and equipment without operator and of personal and household goods;Other assets;76.0
2008;Renting of machinery and equipment without operator and of personal and household goods;Other Equipment;3619.0
2008;Computer and related activities;Furniture;8834.0
2008;Activities, business services;Transportation Equipment;537842.0
2008;Activities, business services;Furniture;482854.0
2008;Education;Land and Buildings;68203.0
2008;Health and social work;Land and Buildings;535110.0
2008;Health and social work;Total;1490591.0
2008;Health and social work;Other Equipment;560521.0
2008;Health and social work;Furniture;190431.0
2007;Forestry and logging;Land and Buildings;0.0
2007;Fishing;Furniture;2461.0
2007;Exploration of oil and natural gas;Furniture;19483.0
2007;Mining of metal ores;Total;2294.0
2007;Activities for mining and quarrying;Transportation Equipment;33835.0
2007;Activities for mining and quarrying;Other Equipment;792830.0
2007;Manufacture of food prod. and beverages;Furniture;176711.0
2007;Manufacture of textiles;Land and Buildings;29247.0
2007;Manufacturing of apparel, preparing & tanning fur;Other assets;11084.0
2007;Manufacturing of apparel, preparing & tanning fur;Land and Buildings;10065.0
2007;"Tanning and dressing of leather; manufacture of luggage and footwear";Transportation Equipment;369.0
2007;Manufacture of wood and of products of wood and cork;Total;69129.0
2007;Industry of paper and its products;Other Equipment;1944212.0
2007;Printing & Publishing;Other assets;29330.0
2007;Printing & Publishing;Land and Buildings;206793.0
2007;Products of refined petroleum;Other assets;229039.0
2007;Products of refined petroleum;Land and Buildings;47744.0
2007;Products of refined petroleum;Other Equipment;57189.0
2007;Products of refined petroleum;Furniture;659.0
2007;Manufacture of chemicals , Articles and  products;Other assets;502234.0
2007;Manufacture of chemicals , Articles and  products;Total;2324900.0
2007;Manufacture of rubber and plastics products;Other assets;83038.0
2007;Manufacture of rubber and plastics products;Other Equipment;1358252.0
2007;Manufacture of basic metals;Other Equipment;106402.0
2007;Manufacture of fabricated metal products;Other assets;441782.0
2007;Manufacture of fabricated metal products;Transportation Equipment;38909.0
2007;Manufacture of machinery and equipment;Other assets;102918.0
2007;Manufacture of machinery and equipment;Land and Buildings;30951.0
2007;Manufacture of office, accounting and computing machinery;Land and Buildings;0.0
2007;Manufacture of office, accounting and computing machinery;Other Equipment;0.0
2007;Manufacture of office, accounting and computing machinery;Furniture;0.0
2007;Manufacture of electrical machinery and apparatus;Transportation Equipment;40767.0
2007;Manufacture of radio, television and communication equipment and apparatus;Transportation Equipment;3138.0
2007;Manufacture of radio, television and communication equipment and apparatus;Other Equipment;1668.0
2007;Manufacture of medical, precision and optical instruments, watches and clocks;Total;13944.0
2007;Manufacture of other transport equipment;Other assets;65.0
2007;Manufacture of other transport equipment;Transportation Equipment;320.0
2007;"Manufacture of furniture; manufacturing";Land and Buildings;11661.0
2007;Recycling;Land and Buildings;0.0
2007;Recycling;Other Equipment;0.0
2007;Recycling;Furniture;0.0
2007;Electricity, gas and steam;Transportation Equipment;71272.0
2007;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Furniture;42736.0
2007;Renting of machinery and equipment without operator and of personal and household goods;Total;150652.0
2007;Computer and related activities;Other assets;7650.0
2007;Activities, business services;Other assets;253101.0
2007;Activities, business services;Other Equipment;229480.0
2007;Education;Furniture;17911.0
2007;Health and social work;Total;3879805.0
2007;Health and social work;Furniture;426968.0
2007;Sewage and refuse disposal and sanitation;Land and Buildings;27281.0
2007;Recreational, cultural and sporting activities;Total;29649.0
2007;service activities;Total;14043.0
2005;Manufacture of other transport equipment;Transportation Equipment;1925.0
2005;Manufacture of other transport equipment;Total;3860.0
2005;Recycling;Land and Buildings;319.0
2005;Recycling;Transportation Equipment;673.0
2005;Recycling;Other Equipment;753.0
2005;Construction;Transportation Equipment;612794.0
2005;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Transportation Equipment;237297.0
2005;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Total;899318.0
2005;Hotels and restaurants;Transportation Equipment;54176.0
2005;Hotels and restaurants;Furniture;88961.0
2005;"Land transport; transport via pipelines";Furniture;7347.0
2005;Water transport;Other assets;1076337.0
2005;Air transport;Other assets;1148322.0
2005;"Supporting and auxiliary transport activities; activities of travel agencies";Land and Buildings;2907.0
2005;"Supporting and auxiliary transport activities; activities of travel agencies";Transportation Equipment;33643.0
2005;Post and telecommunications;Transportation Equipment;30552.0
2005;Activities auxiliary to financial intermediation;Other assets;19.0
2005;service activities;Furniture;815.0
2008;Sewage and refuse disposal and sanitation;Total;113364.0
2008;Activities of membership organizations n.e.c.;Furniture;9023.0
2008;Recreational, cultural and sporting activities;Other assets;5885.0
2006;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other Equipment;50029.0
2006;Retail trade and repair of personal and household goods;Transportation Equipment;127776.0
2006;Retail trade and repair of personal and household goods;Furniture;305442.0
2006;Hotels and restaurants;Land and Buildings;176927.0
2006;Hotels and restaurants;Transportation Equipment;21368.0
2006;Hotels and restaurants;Total;396408.0
2006;Hotels and restaurants;Other Equipment;57766.0
2006;"Land transport; transport via pipelines";Other assets;421031.0
2006;"Land transport; transport via pipelines";Total;1944511.0
