Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2009;Manufacture of chemicals , Articles and  products;Land and Buildings;351757.0
2009;Manufacture of rubber and plastics products;Other assets;93802.0
2009;Manufacture of rubber and plastics products;Other Equipment;1375213.0
2009;Manufacture of  non-metallic mineral products;Transportation Equipment;349741.0
2009;Manufacture of  non-metallic mineral products;Other Equipment;2572160.0
2009;Manufacture of fabricated metal products;Other assets;480589.0
2009;Manufacture of machinery and equipment;Total;288246.0
2009;Manufacture of machinery and equipment;Other Equipment;87931.0
2009;Manufacture of office, accounting and computing machinery;Total;0.0
2009;Manufacture of office, accounting and computing machinery;Furniture;0.0
2009;Manufacture of electrical machinery and apparatus;Land and Buildings;148162.0
2009;Manufacture of electrical machinery and apparatus;Total;678195.0
2009;Manufacture of electrical machinery and apparatus;Other Equipment;176731.0
2009;Manufacture of electrical machinery and apparatus;Furniture;122181.0
2009;Manufacture of medical, precision and optical instruments, watches and clocks;Total;19695.0
2009;Manufacture of medical, precision and optical instruments, watches and clocks;Other Equipment;11341.0
2009;Manufacture of motor vehicles, trailers and semi-trailers;Transportation Equipment;6834.0
2009;Recycling;Land and Buildings;0.0
2009;Electricity, gas and steam;Other Equipment;5587210.0
2009;Collection, purification and distribution of water;Land and Buildings;60931.0
2009;Construction;Land and Buildings;1679242.0
2009;Construction;Transportation Equipment;3230395.0
2009;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other assets;62942.0
2009;Wholesale trade and commission trade;Other Equipment;392793.0
2009;Hotels and restaurants;Land and Buildings;196601.0
2009;Hotels and restaurants;Transportation Equipment;22744.0
2009;"Land transport; transport via pipelines";Total;1823201.0
2009;"Land transport; transport via pipelines";Other Equipment;70952.0
2009;"Land transport; transport via pipelines";Furniture;12315.0
2009;Water transport;Furniture;0.0
2009;Air transport;Land and Buildings;132.0
2009;Air transport;Other Equipment;106682.0
2009;"Supporting and auxiliary transport activities; activities of travel agencies";Other assets;130862.0
2009;Financial intermediation;Furniture;416104.0
2009;Insurance and pension funding, except compulsory social security;Land and Buildings;194675.0
2009;Insurance and pension funding, except compulsory social security;Furniture;25973.0
2009;Activities auxiliary to financial intermediation;Other assets;165.0
